product_id,product_name,category,price,rating,discount_percent,date,period
91014944,Nike Shoes,Mobiles,38561,3.9,45,2026-03-15 04:25:40.149209,last_1_year
3558b8b1,HP Pavilion Laptop,Laptops,24542,4.5,31,2026-03-15 04:25:40.149209,last_1_year
3cc9b86f,Samsung Galaxy S23,Mobiles,38811,3.2,12,2026-03-15 04:25:40.149209,last_1_year
6d448642,HP Pavilion Laptop,Mobiles,5131,3.4,52,2026-03-15 04:25:40.149209,last_1_year
05b5d278,Smart Watch,Mobiles,20914,4.8,41,2026-03-15 04:25:40.149209,last_1_year
af677d97,Apple Watch,Cameras,28510,3.8,44,2026-03-15 04:25:40.111313,last_6_months
82e3083e,Sony Headphones,Accessories,72740,3.3,22,2026-03-15 04:25:40.111313,last_6_months
6159a4a8,Sony Headphones,Accessories,60593,3.8,59,2026-03-15 04:25:40.111313,last_6_months
c4561339,Smart Watch,Mobiles,12405,4.6,58,2026-03-15 04:25:40.111313,last_6_months
a15ab77c,OnePlus 11,Accessories,74065,3.9,24,2026-03-15 04:25:40.111313,last_6_months
b516efa4,Nike Shoes,Fashion,60437,3.6,48,2026-03-15 04:25:40.111313,last_6_months
022d2ff3,Sony Headphones,Fashion,57496,3.6,5,2026-03-15 04:25:40.111313,last_6_months
3bfaaeb6,OnePlus 11,Laptops,32256,3.8,13,2026-03-15 04:25:40.111313,last_6_months
a14f7c35,OnePlus 10,Cameras,33395,3.5,46,2026-03-15 04:25:40.111313,last_6_months
7145c5b8,Lenovo ThinkPad,Mobiles,21676,4.8,9,2026-03-15 04:25:40.111313,last_6_months
12e5a260,Smart Watch,Laptops,31445,4.6,42,2026-03-15 04:25:40.089191,last_90_days
722dc515,JBL Speaker,Cameras,7297,4.7,25,2026-03-15 04:25:40.089191,last_90_days
25a276a8,Sony Headphones,Fashion,68667,5.0,53,2026-03-15 04:25:40.089191,last_90_days
3954e4eb,Realme Narzo,Laptops,6551,4.9,38,2026-03-15 04:25:40.089191,last_90_days
1dc5b56f,JBL Speaker,Cameras,70535,4.5,20,2026-03-15 04:25:40.089191,last_90_days
b2dcf2c9,Dell Inspiron Laptop,Cameras,27923,4.5,55,2026-03-15 04:25:40.089191,last_90_days
9e62aa21,HP Pavilion Laptop,Cameras,25098,3.4,11,2026-03-15 04:25:40.089191,last_90_days
